id,name,level,element,map,drops,hp
1,2nd Anniversary Event (all boss),0,Neutral,Event,2nd Anniv Box,0
2,3rd Anniv Event (all boss),0,Neutral,Event,3rd Anniv Box,0
3,4th Anniv Event (all boss),0,Neutral,Event,4th Anniversary Box,0
4,6th Anniversary Exchange A,0,Neutral,Anniversary Arena: 6th Venue,"Anniv Equipment Box I, Anniv Equipment Box III, Anniv Equipment Box V, Anniv Equipment Box II, Anniv Equipment Box IV, 6th Anniv Ribbon, 6th Anniv Hat, Anniversary Cloth, Bronze 6th Anniv Medal, Gold 6th Anniv Medal, Silpom 6th Anniv Medal, Anniversary Silk, Silver 6th Anniv Medal, Bropom 6th Anniv Medal, Golpom 6th Anniv Medal, Memorial Cloth",0
5,6th Anniversary Exchange B,0,Neutral,Anniversary Arena: 6th Venue,"Emotion Ticket E, 6th Anniv Hat, 6th Anniv Ribbon, Golpom 6th Anniv Medal, Memorial Cloth, Anniv Festive Ticket",0
6,Abyss Eye,58,Dark,Vyshed the Tainted Land: Area 2,"Huge Sinister Tooth, Hideous Skin, Moving Eyeball, Fire Staff",6000
7,Abyss Eye,61,Dark,Vyshed the Tainted Land: Area 2,"Hideous Skin, Moving Eyeball, Huge Sinister Tooth, Fire Staff",6000
8,Abyss Eye,58,Dark,Vyshed the Tainted Land: Area 1,"Hideous Skin, Moving Eyeball, Huge Sinister Tooth, Fire Staff",6000
9,Acamia,195,Fire,Vulcani Crater Base,"Heatproof Shell, Magma Fruit, Short Red Claw, Valley Guardian Stone",13000
10,Acernix,141,Unknown,Tomte Pavillion (130-150),"Icy Dagger, Golden Sting, Holy Stone, Strange Luminous Liquid",Unknown
11,Acernix,160,Unknown,Tomte Pavillion (150-170),"Hard Water, Citrine Eye, Holy Stone, Aquarator, Spirit Staff",Unknown
12,Acernix,138,Water,Garden of Ice & Snow,"Garden of Ice & Snow, Broken Ice Pillar, Crushed Ice, Snowland Talisman",4000
13,Acernix,135,Water,Garden of Ice & Snow,"Garden of Ice & Snow, Broken Ice Pillar, Crushed Ice, Snowland Talisman",4000
14,Actilunia,243,Water,Abandoned District: Area 2,"Delicious Fillet, Fish Poison Fang, Sharp Pectoral Fin, Twisted Staff",Unknown
15,Actilunia,242,Water,Abandoned District: Area 2,"Delicious Fillet, Fish Poison Fang, Sharp Pectoral Fin, Twisted Staff",Unknown
16,Actilunia,241,Water,Abandoned District: Area 1,"Delicious Fillet, Fish Poison Fang, Sharp Pectoral Fin, Twisted Staff",Unknown
17,Actilunia,243,Water,Abandoned District: Area 3,"Delicious Fillet, Fish Poison Fang, Sharp Pectoral Fin, Twisted Staff",Unknown
18,Actinirania,170,Water,Recetacula Sector: Area 2,"Waist Armor, Shredded Polyp, Sharp Fish Fang, Strong Copper Scale",30000
19,Actinirania,169,Water,Recetacula Sector: Area 1,"Waist Armor, Shredded Polyp, Sharp Fish Fang, Strong Copper Scale",30000
20,Acudel,254,Earth,Anniversary Arena: 7th Venue,-,18000000
21,Acudel,244,Earth,Anniversary Arena: 7th Venue,-,7200000
22,Acudel,234,Earth,Anniversary Arena: 7th Venue,-,3600000
23,Acudel,274,Earth,Anniversary Arena: 7th Venue,-,36000000
24,Adado,204,Earth,Mt. Sakuraten,"Flower Nectar, Toram Liquor, Onigiri, Sakura Warrior Emblem",Unknown
25,Adado,201,Earth,Mt. Sakuraten,"Flower Nectar, Toram Liquor, Onigiri, Sakura Warrior Emblem",Unknown
26,Adaro,180,Water,Underwater Ruins: Deepest,"Seadevil Sword, Seadevil Scale, Sea Current Crystal, Seadevil Coral, Seadevil Shield, Seadevil Staff, Adaro, Seadevil Katana",7000000
27,Adaro,170,Water,Underwater Ruins: Deepest,"Seadevil Sword, Seadevil Scale, Sea Current Crystal, Seadevil Coral, Seadevil Shield, Seadevil Staff, Adaro, Seadevil Katana",3500000
28,Adaro,160,Water,Underwater Ruins: Deepest,"Seadevil Sword, Seadevil Scale, Sea Current Crystal, Seadevil Coral, Seadevil Shield, Seadevil Staff, Seadevil Katana",350000
29,Adaro,210,Water,Underwater Ruins: Deepest,"Seadevil Sword, Seadevil Scale, Sea Current Crystal, Seadevil Coral, Seadevil Shield, Seadevil Staff, Adaro, Seadevil Katana",35000000
30,Adaro,190,Water,Underwater Ruins: Deepest,"Seadevil Sword, Seadevil Scale, Sea Current Crystal, Seadevil Coral, Seadevil Shield, Seadevil Staff, Adaro, Seadevil Katana",17500000
31,Adaro (High Difficulty),250,Water,Underwater Ruins: Deepest,"Seadevil Sword, Seadevil Scale, Sea Current Crystal, Seadevil Coral, Seadevil Shield, Seadevil Staff, Seadevil Katana, Underwater Ruins Monster",100000000
32,Adaro (High Difficulty),230,Water,Underwater Ruins: Deepest,"Seadevil Sword, Seadevil Scale, Sea Current Crystal, Seadevil Coral, Seadevil Shield, Seadevil Staff, Seadevil Katana, Underwater Ruins Monster",50000000
33,Adaro (High Difficulty),220,Water,Underwater Ruins: Deepest,"Seadevil Sword, Seadevil Scale, Sea Current Crystal, Seadevil Coral, Seadevil Shield, Seadevil Staff, Seadevil Katana, Underwater Ruins Monster",20000000
34,Adaro (High Difficulty),210,Water,Underwater Ruins: Deepest,"Seadevil Sword, Seadevil Scale, Sea Current Crystal, Seadevil Coral, Seadevil Shield, Seadevil Staff, Seadevil Katana, Underwater Ruins Monster",10000000
35,Adaro (High Difficulty),200,Water,Underwater Ruins: Deepest,"Seadevil Sword, Seadevil Scale, Sea Current Crystal, Seadevil Coral, Seadevil Shield, Seadevil Staff, Seadevil Katana, Underwater Ruins Monster",1000000
36,Aeternus,130,Light,Barbaros Corridor,"Crystal Arrow, Shatterred Purple Crystal, Crystal String, Sparkling Purple Wing",8000
37,Agelada,180,Fire,Ducia Coast: Area 2,"Savage Mail, Evil Spirit Bone, Raging Soul, Evil Spirit Horns",49000
38,Agelada,179,Fire,Ducia Coast: Area 1,"Savage Mail, Evil Spirit Bone, Raging Soul, Evil Spirit Horns",49000
